"","index","study_id","id","author","year","group","group_id","group_desc","url","country","region","city","time_MAX","time_50","time_MIN","detailed_time","exp_dur","fu_dur","age_base","age_SD","days_ps","days_cat","yrs_ps","stroke_type","nihss_base","mmse_base","mMmse_base","fim_base","brunstrom_base","frenchay_base","fac_base","barthel_base","mBarthel_base","motricity_base","BBS_base","BBT_base","gcs_base","MAS_base","sis_base","rivermead_base","ashworth_base","mAshworth_base","rankin_base","bdi_base","cesd_base","OPS_base","terminal_dropout","outcome_name","fma_outcome","speed_outcome","SCOAR_outcome","p_outcome_stated","itt_analysis","base_n","base_m","base_sd","difference_score","term_n","term_m","term_sd","diff_base","diff_term","fu_n","fu_m","fu_sd","est_corr","term_diff","term_s_diff","fu_diff","fu_s_diff","term_d","fu_d","j_corr_factor","term_g","fu_g","term_Vd","fu_Vd","term_Vg","fu_Vg","exp.c","DPS.c","rtDPS","rtDPS.c","time50.c","rtTIME","rtTIME.c","age.c","DUR.c","rtDUR","rtDUR.c"
"12",12,5,"arya2012","arya","2012","ctrl",10,"standard care","http://www.ncbi.nlm.nih.gov/pubmed/22668675","india","uttar pradesh","lucknow",20,20,20,1,28,56,50.21,NA,86.59,"<90days",0.237232877,1,5.29,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fma-ue","fma","","lohse",0,1,52,9.88,8.82,0,52,16.42,11.16,0,0,52,19,12.09,0.5,6.54,10.05828017,9.12,10.5820721,0.650210562,0.861834989,0.985221675,0.640601539,0.849098512,0.023295902,0.026372688,0.022612441,0.025598959,-0.5,-518.700632911392,9.30537479094743,-10.3531735209561,-14.5864556962025,4.47213595499958,-1.06595585065259,-10.0825316455696,-12.1796202531646,5.29150262212918,-0.874370359965841
"13",13,5,"arya2012","arya","2012","exp",11,"""meaningful"" task specific therapy","http://www.ncbi.nlm.nih.gov/pubmed/22668675","india","uttar pradesh","lucknow",20,20,20,1,28,56,51.67,NA,83.44,"<90days",0.22860274,1,5.63,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fma-ue","fma","","lohse",0,1,51,11.98,9.74,0,51,29,14.7,0,0,51,32.02,15.47,0.5,17.02,12.46911384,20.04,12.92649411,1.364972701,1.550304346,0.984924623,1.344395223,1.526932924,0.037874024,0.043171015,0.036740701,0.041879188,0.5,-521.850632911392,9.13454979733539,-10.5239985145681,-14.5864556962025,4.47213595499958,-1.06595585065259,-8.62253164556962,-12.1796202531646,5.29150262212918,-0.874370359965841
"22",22,9,"boake2007","boake","2007","ctrl",18,"conventional therapy","http://www.ncbi.nlm.nih.gov/pubmed/17172550","usa","TX","houston",36,36,36,1,14,90,58.9,NA,14,"<90days",0.038356164,1,5.3,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,4,"fma-ue","fma","","lohse",1,0,11,36.71,14.22,0,9,46.71,14.88,0,0,7,50.14,10.88,0.5,10,14.51703827,13.43,13.06792447,0.688845742,1.027707195,0.923076923,0.635857608,0.948652795,0.112477657,0.138917367,0.09583895,0.118367461,-0.5,-591.290632911392,3.74165738677394,-15.9168909251295,1.41354430379747,6,0.461908194347826,-1.39253164556962,-26.1796202531646,3.74165738677394,-2.42421559532108
"23",23,9,"boake2007","boake","2007","exp",19,"CIMT","http://www.ncbi.nlm.nih.gov/pubmed/17172550","usa","TX","houston",162,106,36,1,14,90,63.1,NA,14,"<90days",0.038356164,1,4.9,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"fma-ue","fma","","lohse",1,0,10,29.44,12.11,0,9,47.89,6.71,0,0,9,53.44,8.63,0.5,18.45,9.941184981,24,10.61542745,1.855915571,2.260860442,0.914285714,1.696837093,2.067072404,0.27222113,0.355574497,0.227554643,0.297231253,0.5,-591.290632911392,3.74165738677394,-15.9168909251295,71.4135443037975,10.295630140987,4.75753833533483,2.80746835443038,-26.1796202531646,3.74165738677394,-2.42421559532108
"32",32,13,"brokaw2014","brokaw","2014","ctrl",26,"conventional therapy","http://www.ncbi.nlm.nih.gov/pubmed/24297763","usa","DC","washington DC",12,12,12,1,30,NA,57,NA,1095,">1year",3,0,NA,"","","","",NA,"","",NA,"",NA,6.1,NA,"","",NA,"","","",NA,"",NA,0,"fma","fma","","lohse",0,0,5,17.6,4.35,0,5,18.39,4.38,NA,NA,NA,NA,NA,0.5,0.79,4.365025773,NA,4.35,0.18098404,NA,0.8,0.144787232,NA,0.203275522,NA,0.130096334,NA,-0.5,489.709367088608,33.0907842155486,13.4322359036451,-22.5864556962025,3.46410161513775,-2.07399019051442,-3.29253164556962,-10.1796202531646,5.47722557505166,-0.688647407043361
"33",33,13,"brokaw2014","brokaw","2014","exp",27,"robot-assisted UE therapy","http://www.ncbi.nlm.nih.gov/pubmed/24297763","usa","DC","washington DC",12,12,12,1,30,NA,57,NA,1095,">1year",3,0,NA,"","","","",NA,"","",NA,"",NA,6.1,NA,"","",NA,"","","",NA,"",NA,0,"fma","fma","","lohse",0,0,7,25.75,11.03,0,7,28.47,12.3,NA,NA,NA,NA,NA,0.5,2.72,11.68227076,NA,11.03,0.232831447,NA,0.869565217,0.202462128,NA,0.14672932,NA,0.110948446,NA,0.5,489.709367088608,33.0907842155486,13.4322359036451,-22.5864556962025,3.46410161513775,-2.07399019051442,-3.29253164556962,-10.1796202531646,5.47722557505166,-0.688647407043361
"36",36,15,"burgar2011","burgar","2011","exp",30,"robot lo","http://www.ncbi.nlm.nih.gov/pubmed/21674393","usa","TX","temple",8.6,8.6,8.6,1,21,180,62.5,NA,17.3,"<90days",0.04739726,1,NA,">22","","28.4","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","0.44","",NA,"",NA,5,"fma","fma","","lohse",1,0,19,26.7,21.79449472,1,19,33.5,NA,1,0,14,42.6,NA,0.5,6.8,21.79449472,15.9,21.79449472,0.312005398,0.729542034,0.957746479,0.298822071,0.698716314,0.055193352,0.066637673,0.050627665,0.061125293,0.5,-587.990632911392,4.15932686861708,-15.4992214432864,-25.9864556962025,2.93257565972304,-2.60551614592914,2.20746835443038,-19.1796202531646,4.58257569495584,-1.58329728713918
"37",37,15,"burgar2011","burgar","2011","ctrl",31,"standard care","http://www.ncbi.nlm.nih.gov/pubmed/21674393","usa","TX","temple",9.4,9.4,9.4,1,21,180,68.1,NA,10.6,"<90days",0.029041096,1,NA,">22","","26.9","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","0.33","",NA,"",NA,6,"fma","fma","","lohse",1,0,18,24.2,20.3646753,1,18,38.2,NA,1,0,12,39.5,NA,0.5,14,20.3646753,15.3,20.3646753,0.687464926,0.751300955,0.955223881,0.656682915,0.717660614,0.068683556,0.071234809,0.062670494,0.064998391,-0.5,-594.690632911392,3.25576411921994,-16.4027841926835,-25.1864556962025,3.06594194335118,-2.472149862301,7.80746835443038,-19.1796202531646,4.58257569495584,-1.58329728713918
"38",38,15,"burgar2011","burgar","2011","exp",32,"robot hi","http://www.ncbi.nlm.nih.gov/pubmed/21674393","usa","TX","temple",15.8,15.8,15.8,1,21,180,58.6,NA,16.6,"<90days",0.045479452,1,NA,">22","","27.9","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","0.31","",NA,"",NA,7,"fma","fma","","lohse",1,0,17,19,15.25549081,1,17,33.4,NA,1,0,11,42.6,NA,0.5,14.4,15.25549081,23.6,15.25549081,0.943922433,1.546983987,0.952380952,0.898973745,1.473318083,0.085029105,0.129210572,0.077123904,0.117197798,0.5,-588.690632911392,4.07430975749267,-15.5842385544108,-18.7864556962025,3.97492138287036,-1.56317042278182,-1.69253164556962,-19.1796202531646,4.58257569495584,-1.58329728713918
"54",54,21,"conroy2011","conroy","2011","ctrl",44,"intensive conventional arm therapy","http://www.ncbi.nlm.nih.gov/pubmed/21849168","usa","MD","baltimore",18,18,18,1,42,126,56,NA,1460,">1year",4,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","71.4",NA,"","","",NA,"",NA,2,"fma-ue","fma","","lohse",1,0,21,18.2,12.5,1,19,19.39,NA,1,0,19,20.02,NA,0.5,1.19,12.5,1.82,12.5,0.0952,0.1456,0.962025316,0.09158481,0.140070886,0.047834834,0.048123794,0.04427079,0.044538221,-0.5,854.709367088608,38.2099463490856,18.5513980371821,-16.5864556962025,4.24264068711928,-1.29545111853289,-4.29253164556962,1.82037974683544,6.48074069840786,0.314867716312838
