"","index","study_id","id","author","year","group","group_id","group_desc","url","country","region","city","time_MAX","time_50","time_MIN","detailed_time","exp_dur","fu_dur","age_base","age_SD","days_ps","days_cat","yrs_ps","stroke_type","nihss_base","mmse_base","mMmse_base","fim_base","brunstrom_base","frenchay_base","fac_base","barthel_base","mBarthel_base","motricity_base","BBS_base","BBT_base","gcs_base","MAS_base","sis_base","rivermead_base","ashworth_base","mAshworth_base","rankin_base","bdi_base","cesd_base","OPS_base","terminal_dropout","outcome_name","outcome_extremity","ue_subscale","le_subscale","fma_outcome","speed_outcome","SCOAR_outcome","p_outcome_stated","itt_analysis","base_n","base_m","base_sd","difference_score","term_n","term_m","term_sd","diff_base","diff_term","fu_n","fu_m","fu_sd","est_corr","term_diff","term_s_diff","fu_diff","fu_s_diff","term_d","fu_d","j_corr_factor","term_g","fu_g","term_Vd","fu_Vd","term_Vg","fu_Vg","exp.c","DPS.c","rtDPS","rtDPS.c","time50.c","rtTIME","rtTIME.c","age.c","DUR.c","rtDUR","rtDUR.c"
"4",4,2,"ada2003","ada","2003","exp",4,"overground and treadmill walking","http://www.ncbi.nlm.nih.gov/pubmed/14586916","australia","new south wales","sydney",6,6,6,1,28,49,66,11,840,">1year",2.301369863,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"10mwt SSV","le","","speed","","speed","lohse",0,0,13,0.62,0.24,0,11,0.75,0.26,0,0,13,0.83,0.26,0.5,0.13,0.249289901,0.21,0.25019992,0.521481214,0.839328805,0.936170213,0.488195179,0.785754626,0.08738241,0.104018186,0.076583226,0.091163064,0.5,226.546204620462,28.9827534923789,8.63734173747968,-23.8059405940594,2.44948974278318,-2.31487818457253,5.01045544554456,-14.0555775577558,5.29150262212918,-0.825679316863087
"7",7,3,"ada2013","ada","2013","ctrl",5,"no specified physical therapy","http://www.ncbi.nlm.nih.gov/pubmed/23464674","australia","new south wales","sydney",0,0,0,1,120,365,63,NA,570,">1year",1.561643836,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,3,"6minwt","le","","capacity","","","lohse",1,1,34,244,263,0,31,263,115,NA,NA,31,252,125,0.5,19,206.2256046,8,208.978126,0.09213211,0.038281519,0.977099237,0.090022214,0.037404843,0.029536593,0.029433316,0.028199262,0.028100661,-0.5,-43.453795379538,23.8746727726266,3.52926101772745,-29.8059405940594,0,-4.76436792735571,2.01045544554456,77.9444224422442,10.9544511501033,4.83726921111105
"8",8,3,"ada2013","ada","2013","exp",6,"four months of walking training","http://www.ncbi.nlm.nih.gov/pubmed/23464674","australia","new south wales","sydney",24,24,24,1,120,365,70,NA,660,">1year",1.808219178,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",1,1,34,232,124,0,34,289,131,NA,NA,34,250,130,0.5,57,127.5480302,18,127.0354281,0.446890477,0.141692757,0.977099237,0.436656344,0.138447884,0.032348693,0.029707012,0.030884038,0.028361965,0.5,46.546204620462,25.6904651573303,5.34505340243107,-5.80594059405941,4.89897948556636,0.134611558210648,9.01045544554456,77.9444224422442,10.9544511501033,4.83726921111105
"9",9,3,"ada2013","ada","2013","exp",7,"two months of walking therapy","http://www.ncbi.nlm.nih.gov/pubmed/23464674","australia","new south wales","sydney",12,12,12,1,60,365,64,NA,600,">1year",1.643835616,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"6minwt","le","","capacity","","","lohse",1,1,34,225,118,0,33,259,145,NA,NA,33,230,122,0.5,34,131.9843814,5,119.9858966,0.257606238,0.041671564,0.977099237,0.251706859,0.040717254,0.030387661,0.029437302,0.029011797,0.028104467,0.5,-13.453795379538,24.4948974278318,4.14948567293259,-17.8059405940594,3.46410161513775,-1.30026631221795,3.01045544554456,17.9444224422442,7.74596669241483,1.62878475342257
"12",12,5,"arya2012","arya","2012","ctrl",10,"standard care","http://www.ncbi.nlm.nih.gov/pubmed/22668675","india","uttar pradesh","lucknow",20,20,20,1,28,56,50.21,NA,86.59,"<90days",0.237232877,1,5.29,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",0,1,52,9.88,8.82,0,52,16.42,11.16,0,0,52,19,12.09,0.5,6.54,10.05828017,9.12,10.5820721,0.650210562,0.861834989,0.985221675,0.640601539,0.849098512,0.023295902,0.026372688,0.022612441,0.025598959,-0.5,-526.863795379538,9.30537479094743,-11.0400369639518,-9.80594059405941,4.47213595499958,-0.292231972356128,-10.7795445544554,-14.0555775577558,5.29150262212918,-0.825679316863087
"13",13,5,"arya2012","arya","2012","exp",11,"""meaningful"" task specific therapy","http://www.ncbi.nlm.nih.gov/pubmed/22668675","india","uttar pradesh","lucknow",20,20,20,1,28,56,51.67,NA,83.44,"<90days",0.22860274,1,5.63,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fma-ue","ue","fma","","fma","","lohse",0,1,51,11.98,9.74,0,51,29,14.7,0,0,51,32.02,15.47,0.5,17.02,12.46911384,20.04,12.92649411,1.364972701,1.550304346,0.984924623,1.344395223,1.526932924,0.037874024,0.043171015,0.036740701,0.041879188,0.5,-530.013795379538,9.13454979733539,-11.2108619575638,-9.80594059405941,4.47213595499958,-0.292231972356128,-9.31954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"14",14,6,"bale2008","bale","2008","ctrl",12,"training as usual","http://www.ncbi.nlm.nih.gov/pubmed/18955423","norway","","F?de",16.67,16.67,16.67,1,28,NA,64.9,NA,32,"<90days",0.087671233,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"gait speed SSV","le","","speed","","speed","lohse",0,1,10,0.38,0.3,0,10,0.46,0.3,NA,NA,NA,NA,NA,0.5,0.08,0.3,NA,0.3,0.266666667,NA,0.914285714,0.243809524,NA,0.103555556,NA,0.086563991,NA,-0.5,-581.453795379538,5.65685424949238,-14.6885575054068,-13.1359405940594,4.08289113251872,-0.681476794836987,3.91045544554456,-14.0555775577558,5.29150262212918,-0.825679316863087
"15",15,6,"bale2008","bale","2008","exp",13,"functional strength training","http://www.ncbi.nlm.nih.gov/pubmed/18955423","norway","","F?de",16.67,16.67,16.67,1,28,NA,60.8,NA,49.4,"<90days",0.135342466,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"gait speed SSV","le","","speed","","speed","lohse",0,1,8,0.13,0.2,0,8,0.36,0.2,NA,NA,NA,NA,NA,0.5,0.23,0.2,NA,0.2,1.15,NA,0.888888889,1.022222222,NA,0.20765625,NA,0.164074074,NA,0.5,-564.053795379538,7.02851335632223,-13.316898398577,-13.1359405940594,4.08289113251872,-0.681476794836987,-0.189544554455445,-14.0555775577558,5.29150262212918,-0.825679316863087
"18",18,8,"blennerhassett2004","blennerhassett","2004","exp",16,"targeted lower limb mobility therapy + usual therapy","http://www.ncbi.nlm.nih.gov/pubmed/15574110","australia","victoria","melbourne",31.2,31.2,31.2,1,28,180,53.9,19.8,36,"<90days",0.098630137,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"6minwt","le","","capacity","","","lohse",0,1,15,183,85,0,15,404,101,0,0,15,416,171,0.5,221,93.34345183,233,135.0296264,2.367600465,1.725547247,0.945454545,2.238458622,1.631426488,0.253517732,0.16591711,0.22661552,0.148310699,0.5,-577.453795379538,6,-14.3454117548992,1.39405940594059,5.58569601750758,0.821328090151868,-7.08954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
"19",19,8,"blennerhassett2004","blennerhassett","2004","exp",17,"targeted upper extremity intervention + usual therapy","http://www.ncbi.nlm.nih.gov/pubmed/15574110","australia","victoria","melbourne",31.8,31.8,31.8,1,28,180,56.3,10.5,51.1,"<90days",0.14,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"JTHFT-time","ue","","","","","lohse",0,1,11,41.8,18.4,0,11,24.3,11.3,0,0,11,23.6,12.2,0.5,-17.5,15.26843148,-18.2,15.61089363,1.146155715,1.16585254,0.923076923,1.05798989,1.076171576,0.150621496,0.152691461,0.12834021,0.130103967,0.5,-562.353795379538,7.14842640026461,-13.1969853546346,1.99405940594059,5.63914887194867,0.874780944592966,-4.68954455445544,-14.0555775577558,5.29150262212918,-0.825679316863087
